id,id_str,url,date,user_id,user_id_str,user_url,username,displayname,rawDescription,user_created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location,profileImageUrl,profileBannerUrl,protected,verified,blue,lang,rawContent,replyCount,retweetCount,likeCount,quoteCount,bookmarkedCount,conversationId,conversationIdStr,source,sourceUrl,sourceLabel,sentiment,negative,neutral,positive
461293337052336131,461293337052336131,https://x.com/EvaCamell/status/461293337052336131,2014-04-29T23:57:56+00:00,2372108665,2372108665,https://x.com/EvaCamell,EvaCamell,Eva.Cameron,,2014-03-04T16:00:40+00:00,398,532,60199,1,5,2,,https://pbs.twimg.com/profile_images/441003924196040704/uoOekeRw_normal.jpeg,,,False,False,en,"Assassin's Creed III by UBI Soft (Oct 30, 2012) $19.99 used $12.96 STARS 4.1 http://t.co/k9CCg4S0T2",0,0,0,0,0,461293337052336131,461293337052336131,"<a href=""http://weekend-holiday.net/"" rel=""nofollow"">weekend tweet</a>",http://weekend-holiday.net/,weekend tweet,"{'positive': 0.030111225, 'neutral': 0.0860752, 'negative': 0.8838136}",0.8838136,0.0860752,0.030111225
461291251921592321,461291251921592321,https://x.com/ac_next/status/461291251921592321,2014-04-29T23:49:39+00:00,470023757,470023757,https://x.com/ac_next,ac_next,Assassin's Creed 5,,2012-01-21T07:36:23+00:00,918,8,20243,8,6,8919,,https://pbs.twimg.com/profile_images/505975952434688000/0FYw4Ikx_normal.jpeg,https://pbs.twimg.com/profile_banners/470023757/1409468814,,False,False,en,"New Regency and Ubisoft are in talks with Justin Kurzel to direct Assassin’s Creed, the live action adaptation of t.. http://t.co/av4HKr8veO",0,0,0,0,0,461291251921592321,461291251921592321,"<a href=""http://vk.com"" rel=""nofollow"">vk.com pages</a>",http://vk.com,vk.com pages,"{'positive': 0.021591855, 'neutral': 0.23209782, 'negative': 0.7463103}",0.7463103,0.23209782,0.021591855
461290873050107904,461290873050107904,https://x.com/all_about_xbox/status/461290873050107904,2014-04-29T23:48:09+00:00,1690545942,1690545942,https://x.com/all_about_xbox,all_about_xbox,AllAboutXBOX.com,http://t.co/aZUugD6lyc provides you with up-to-date news about the XBOX-universe from all around the gaming cloud.,2013-08-22T09:44:40+00:00,121,0,11284,0,8,3,,https://pbs.twimg.com/profile_images/378800000338505422/4343740f0a46fd99052e6f1057196d6a_normal.jpeg,,,False,False,en,"Watch Dogs Season' Pass Detailed, Trailered - Ubisoft has revealed the contents of its Watch Dogs Season... http://t.co/NP2RKRRrvT",0,0,0,0,0,461290873050107904,461290873050107904,"<a href=""https://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>",https://www.tumblr.com/,Tumblr,"{'positive': 0.031591352, 'neutral': 0.1839144, 'negative': 0.7844942}",0.7844942,0.1839144,0.031591352
461290867098017792,461290867098017792,https://x.com/Reap3r_G/status/461290867098017792,2014-04-29T23:48:07+00:00,1166166114,1166166114,https://x.com/Reap3r_G,Reap3r_G,G,F Cancer,2013-02-10T15:14:01+00:00,52,107,5703,7320,1,124,Canada,https://pbs.twimg.com/profile_images/1661163876140949504/w6KsqKUo_normal.jpg,https://pbs.twimg.com/profile_banners/1166166114/1421608600,,False,False,en,@ubisoft do u guys know if child of light will be up at midnight EST on xbox? Or might not till tomorrow morning?,0,0,0,0,0,461290867098017792,461290867098017792,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>",http://www.twitter.com,Twitter for BlackBerry,"{'positive': 0.054627918, 'neutral': 0.069842674, 'negative': 0.87552947}",0.87552947,0.069842674,0.054627918
461290769639567360,461290769639567360,https://x.com/Agentxk/status/461290769639567360,2014-04-29T23:47:44+00:00,100537164,100537164,https://x.com/Agentxk,Agentxk,Josh Knowles,"Gaming industry wordsmith extraordinaire. Guinness World Record holder, Games guy @ KnowTechie, https://t.co/wNXZPsgEGa and Game Crate. Dad & husband. Anime is cool. He/Him.",2009-12-30T16:29:51+00:00,636,557,16794,361,34,586,"Tampa, Florida",https://pbs.twimg.com/profile_images/874375465196150784/zuia1Len_normal.jpg,https://pbs.twimg.com/profile_banners/100537164/1458185644,,False,False,en,@killyourfm Ever notice how Ubisoft likes to make REALLY stupid decisions around DRM?,0,0,0,0,0,461289523214049280,461289523214049280,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,"{'positive': 0.016985092, 'neutral': 0.0680508, 'negative': 0.91496414}",0.91496414,0.0680508,0.016985092
461290609282519040,461290609282519040,https://x.com/GeForce_JacobF/status/461290609282519040,2014-04-29T23:47:06+00:00,85718756,85718756,https://x.com/GeForce_JacobF,GeForce_JacobF,Jacob Freeman,GeForce Evangelist at NVIDIA. May be related to Gordon. Host of RTX Play Live! Wednesday's 1PM PT at https://t.co/zo6RCLpW0T 😊 My tweets (posts?) are my own.,2009-10-28T01:51:12+00:00,32703,2645,44683,226,190,5531,"California, USA",https://pbs.twimg.com/profile_images/1650499524622790657/-xqPonnK_normal.png,https://pbs.twimg.com/profile_banners/85718756/1691900310,,False,True,en,"@cardesinr Didn't have much control over that, sorry! Remember this is an NVIDIA/Ubisoft promotion.",1,0,0,0,0,461286163433533440,461286163433533440,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,"{'positive': 0.066189416, 'neutral': 0.34797725, 'negative': 0.5858334}",0.5858334,0.34797725,0.066189416
461290383604219904,461290383604219904,https://x.com/UbisoftMTL/status/461290383604219904,2014-04-29T23:46:12+00:00,155945134,155945134,https://x.com/UbisoftMTL,UbisoftMTL,Ubisoft Montréal,"The official Ubisoft Montréal account!
Le compte officiel d'Ubisoft Montréal !
Proud creators of #AssassinsCreed - #RainbowSixSiege - #ForHonor and many more!🎮",2010-06-15T15:52:52+00:00,122547,999,9225,5472,773,2597,Montréal,https://pbs.twimg.com/profile_images/1790804531556577281/-RoPOt7-_normal.jpg,https://pbs.twimg.com/profile_banners/155945134/1715796048,,False,False,fr,Bio-Jade Adam-Granger d’ @UbisoftMTL et Olivier Reeves sont à @mnetmp ce soir pour parler d’Academia! #mnetmp,0,4,2,0,0,461290383604219904,461290383604219904,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",http://www.hootsuite.com,Hootsuite,"{'positive': 0.011298076, 'neutral': 0.234748, 'negative': 0.753954}",0.753954,0.234748,0.011298076
461290077448990720,461290077448990720,https://x.com/BrookeLiuu/status/461290077448990720,2014-04-29T23:44:59+00:00,2372023824,2372023824,https://x.com/BrookeLiuu,BrookeLiuu,Brooke.Liu,,2014-03-04T15:00:37+00:00,567,713,62225,4,5,2,,https://pbs.twimg.com/profile_images/441001324260241408/XXZXzE10_normal.jpeg,,,False,False,en,"Assassin's Creed III by UBI Soft (Oct 30, 2012) $19.99 used $12.96 STARS 4.1 http://t.co/lAeVcEEVb3",0,0,0,0,0,461290077448990720,461290077448990720,"<a href=""http://weekend-holiday.net/"" rel=""nofollow"">weekend tweet</a>",http://weekend-holiday.net/,weekend tweet,"{'positive': 0.028568732, 'neutral': 0.09013433, 'negative': 0.88129693}",0.88129693,0.09013433,0.028568732
461289768404275200,461289768404275200,https://x.com/SiSenores/status/461289768404275200,2014-04-29T23:43:45+00:00,95080717,95080717,https://x.com/SiSenores,SiSenores,Yosé,"Psychologist 
being your ego and your id.",2009-12-06T21:55:22+00:00,137,143,8965,848,3,604,"Strasbourg, France",https://pbs.twimg.com/profile_images/1089264409753673730/SoNNAFa6_normal.jpg,https://pbs.twimg.com/profile_banners/95080717/1499714717,,False,False,es,"Aunque suena mas a mercado-basura clasico de Ubisoft que a Valve, esa vaina del region-lock.",0,0,0,0,0,461289768404275200,461289768404275200,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,"{'positive': 0.09096004, 'neutral': 0.426314, 'negative': 0.48272595}",0.48272595,0.426314,0.09096004
461289479697752065,461289479697752065,https://x.com/softwarebuy/status/461289479697752065,2014-04-29T23:42:36+00:00,2218869859,2218869859,https://x.com/softwarebuy,softwarebuy,Megan,Buy Software Now http://t.co/flh6d3Zd25 Download Business Office Children Computer Security Education Reference Illustration Design Operating Systems Software,2013-11-28T04:14:37+00:00,18,8,107244,1,0,22183,US,https://pbs.twimg.com/profile_images/415083394133811201/74njdI9J_normal.jpeg,,,False,False,en,#4: Child of Light [Online Game Code]: Child of Light [Online Game Code] by Ubisoft Platform:   Windows Vista ... http://t.co/f6qefTCR8l,0,0,0,0,0,461289479697752065,461289479697752065,"<a href=""http://erased17_HS5iDNPvEo.com"" rel=""nofollow"">erased17_HS5iDNPvEo</a>",http://erased17_HS5iDNPvEo.com,erased17_HS5iDNPvEo,"{'positive': 0.027295385, 'neutral': 0.13115133, 'negative': 0.8415533}",0.8415533,0.13115133,0.027295385
461288846983168000,461288846983168000,https://x.com/puxini29/status/461288846983168000,2014-04-29T23:40:06+00:00,287658042,287658042,https://x.com/puxini29,puxini29,puxini29,"Aficionado al mundo ASMR, videojuegos, libros, cine, naturaleza, animales, solidario en càritas.",2011-04-25T12:39:53+00:00,55,459,1563,1719,0,403,llagosteracity,https://pbs.twimg.com/profile_images/3054990352/3fd361de22c6888e065abb1b65f293f8_normal.jpeg,,,False,False,es,@Ubisoft_Spain no veo bien que trials fusion no salga para ps3 pk yo la tengo y me lo hubiera comprado creo que tendrian que ponerlo,0,0,0,0,0,461288846983168000,461288846983168000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,"{'positive': 0.01703653, 'neutral': 0.15892805, 'negative': 0.8240354}",0.8240354,0.15892805,0.01703653
461288672084508672,461288672084508672,https://x.com/TyZebruh/status/461288672084508672,2014-04-29T23:39:24+00:00,18784462,18784462,https://x.com/TyZebruh,TyZebruh,Ty/The Illustrious Zell,Man of many names and plenty games. RIP @LouisCaprice @drametv2,2009-01-08T23:36:20+00:00,1090,1443,208926,1372,28,6341,Colorado,https://pbs.twimg.com/profile_images/1795608697952964608/AJWoU5RJ_normal.jpg,https://pbs.twimg.com/profile_banners/18784462/1470507285,,False,False,en,That’s what we do now? We drop DLC trailers to games that aren’t even released yet? @ComplexVG @Ubisoft @watchdogsgame,0,0,0,0,0,461286100661981184,461286100661981184,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,"{'positive': 0.10095618, 'neutral': 0.18886866, 'negative': 0.71017516}",0.71017516,0.18886866,0.10095618
